Area,Site (MPA/ REF),Common Name,Month,Length (cm),Depth Released (ft),Year
PL,MPA,Blue Rockfish,August,30,67,2007
PL,MPA,Blue Rockfish,August,35,90,2007
PL,MPA,Blue Rockfish,August,23,90,2007
PL,MPA,Blue Rockfish,August,26,90,2007
PL,MPA,Blue Rockfish,August,31,90,2007
PL,MPA,Blue Rockfish,August,30,90,2007
PL,MPA,Blue Rockfish,August,32,90,2007
PL,MPA,Blue Rockfish,August,23,88,2007
PL,MPA,Blue Rockfish,August,23,88,2007
PL,MPA,Blue Rockfish,August,31,88,2007
PL,MPA,Blue Rockfish,August,34,88,2007
PL,MPA,Blue Rockfish,August,25,88,2007
PL,MPA,Blue Rockfish,August,29,88,2007
PL,MPA,Blue Rockfish,August,33,88,2007
PL,MPA,Blue Rockfish,August,30,88,2007
PL,MPA,Blue Rockfish,August,35,88,2007
PL,MPA,Blue Rockfish,August,31,88,2007
PL,MPA,Blue Rockfish,August,31,88,2007
PL,MPA,Blue Rockfish,August,31,88,2007
PL,MPA,Blue Rockfish,August,30,88,2007
PL,MPA,Blue Rockfish,August,21,88,2007
PL,MPA,Blue Rockfish,August,32,88,2007
PL,MPA,Blue Rockfish,August,25,88,2007
PL,MPA,Blue Rockfish,August,35,88,2007
PL,MPA,Blue Rockfish,August,32,88,2007
PL,MPA,Blue Rockfish,August,33,88,2007
PL,MPA,Blue Rockfish,August,31,88,2007
PL,MPA,Blue Rockfish,August,32,88,2007
PL,MPA,Blue Rockfish,August,36,88,2007
PL,MPA,Blue Rockfish,August,35,88,2007
PL,MPA,Blue Rockfish,August,36,88,2007
PL,MPA,Blue Rockfish,August,36,88,2007
PL,MPA,Blue Rockfish,August,20,88,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,30,85,2007
PL,MPA,Blue Rockfish,August,31,85,2007
PL,MPA,Blue Rockfish,August,34,85,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,28,85,2007
PL,MPA,Blue Rockfish,August,33,85,2007
